Quantity,UnitPrice,InvoiceNo,StockCode,Description,InvoiceDate,CustomerID,Country,Sales
24,3.75,536370,22728,ALARM CLOCK BAKELIKE PINK,12/1/10 8:45,12583,France,90.0
24,3.75,536370,22727,ALARM CLOCK BAKELIKE RED ,12/1/10 8:45,12583,France,90.0
24,0.65,536370,21883,STARS GIFT TAPE ,12/1/10 8:45,12583,France,15.600000000000001
48,0.85,536370,10002,INFLATABLE POLITICAL GLOBE ,12/1/10 8:45,12583,France,40.8
24,1.25,536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,12/1/10 8:45,12583,France,30.0
24,2.95,536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12/1/10 8:45,12583,France,70.80000000000001
24,1.95,536370,22629,SPACEBOY LUNCH BOX ,12/1/10 8:45,12583,France,46.8
24,1.95,536370,22659,LUNCH BOX I LOVE LONDON,12/1/10 8:45,12583,France,46.8
24,1.95,536370,22631,CIRCUS PARADE LUNCH BOX ,12/1/10 8:45,12583,France,46.8
24,1.65,536370,21731,RED TOADSTOOL LED NIGHT LIGHT,12/1/10 8:45,12583,France,39.599999999999994
24,2.95,536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,12/1/10 8:45,12583,France,70.80000000000001
24,0.42,536370,22540,MINI JIGSAW CIRCUS PARADE ,12/1/10 8:45,12583,France,10.08
24,0.42,536370,22544,MINI JIGSAW SPACEBOY,12/1/10 8:45,12583,France,10.08
36,0.65,536370,22492,MINI PAINT SET VINTAGE ,12/1/10 8:45,12583,France,23.400000000000002
3,18.0,536370,POST,POSTAGE,12/1/10 8:45,12583,France,54.0
6,8.5,536389,22941,CHRISTMAS LIGHTS 10 REINDEER,12/1/10 10:03,12431,Australia,51.0
2,8.5,536389,22193,RED DINER WALL CLOCK,12/1/10 10:03,12431,Australia,17.0
2,8.5,536389,22192,BLUE DINER WALL CLOCK,12/1/10 10:03,12431,Australia,17.0
2,8.5,536389,22191,IVORY DINER WALL CLOCK,12/1/10 10:03,12431,Australia,17.0
24,1.65,536389,22195,LARGE HEART MEASURING SPOONS,12/1/10 10:03,12431,Australia,39.599999999999994
24,0.85,536389,22196,SMALL HEART MEASURING SPOONS,12/1/10 10:03,12431,Australia,20.4
96,1.85,536403,22867,HAND WARMER BIRD DESIGN,12/1/10 11:27,12791,Netherlands,177.60000000000002
1,15.0,536403,POST,POSTAGE,12/1/10 11:27,12791,Netherlands,15.0
24,0.42,536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,12/1/10 13:04,12662,Germany,10.08
1,18.0,536527,POST,POSTAGE,12/1/10 13:04,12662,Germany,18.0
50,0.42,536532,84692,BOX OF 24 COCKTAIL PARASOLS,12/1/10 13:24,12433,Norway,21.0
96,1.06,536532,22444,GROW YOUR OWN PLANT IN A CAN ,12/1/10 13:24,12433,Norway,101.76
24,1.65,536532,22556,PLASTERS IN TIN CIRCUS PARADE ,12/1/10 13:24,12433,Norway,39.599999999999994
36,1.65,536532,22555,PLASTERS IN TIN STRONGMAN,12/1/10 13:24,12433,Norway,59.4
24,1.65,536532,22554,PLASTERS IN TIN WOODLAND ANIMALS,12/1/10 13:24,12433,Norway,39.599999999999994
24,1.65,536532,22553,PLASTERS IN TIN SKULLS,12/1/10 13:24,12433,Norway,39.599999999999994
24,1.65,536532,22551,PLASTERS IN TIN SPACEBOY,12/1/10 13:24,12433,Norway,39.599999999999994
24,0.42,536532,22547,MINI JIGSAW DINOSAUR ,12/1/10 13:24,12433,Norway,10.08
24,0.42,536532,22544,MINI JIGSAW SPACEBOY,12/1/10 13:24,12433,Norway,10.08
24,0.42,536532,22543,MINI JIGSAW BAKE A CAKE ,12/1/10 13:24,12433,Norway,10.08
24,0.42,536532,22540,MINI JIGSAW CIRCUS PARADE ,12/1/10 13:24,12433,Norway,10.08
24,0.42,536532,22539,MINI JIGSAW DOLLY GIRL,12/1/10 13:24,12433,Norway,10.08
24,0.42,536532,22534,MAGIC DRAWING SLATE SPACEBOY ,12/1/10 13:24,12433,Norway,10.08
24,0.42,536532,22530,MAGIC DRAWING SLATE DOLLY GIRL ,12/1/10 13:24,12433,Norway,10.08
24,0.42,536532,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,12/1/10 13:24,12433,Norway,10.08
24,1.65,536532,22561,WOODEN SCHOOL COLOURING SET,12/1/10 13:24,12433,Norway,39.599999999999994
24,0.42,536532,22489,PACK OF 12 TRADITIONAL CRAYONS,12/1/10 13:24,12433,Norway,10.08
